,target,synset,pos,t,prov,synset_def,synset_size,synset_words,wn_pos,gold_Astrid,gold_Jacco,gold_Laura,gold,comment
1,awful,amazing.s.02,adj,1800,HW,inspiring awe or admiration or wonder,5,"['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']",s,-1,-1,-1,-1,
2,awful,atrocious.s.02,adj,1800,HW,exceptionally bad or displeasing,7,"['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']",s,1,1,1,1,
3,awful,awed.s.01,adj,1800,HW,inspired by a feeling of fearful wonderment or reverence,2,"['awed', 'awful']",s,-1,-1,0,-1,
4,awful,awful.s.02,adj,1800,HW,causing fear or dread or terror,12,"['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']",s,1,1,0,1,
5,awful,frightful.s.02,adj,1800,HW,extreme in degree or extent or amount or impact,4,"['frightful', 'terrible', 'awful', 'tremendous']",s,0,1,0,0,
6,awful,nasty.a.01,adj,1800,HW,offensive or even of persons malicious,2,"['nasty', 'awful']",a,1,1,1,1,
7,broadcast,air.v.03,v,1920,HW,broadcast over the airwaves as in radio or television,5,"['air', 'send', 'broadcast', 'beam', 'transmit']",v,1,1,1,1,
8,broadcast,broadcast.v.02,v,1920,HW,sow over a wide area especially by hand,1,['broadcast'],v,-1,-1,-1,-1,
9,broadcast,circulate.v.02,v,1920,HW,cause to become widely known,11,"['circulate', 'circularize', 'circularise', 'distribute', 'disseminate', 'propagate', 'broadcast', 'spread', 'diffuse', 'disperse', 'pass_around']",v,0,0,0,0,
10,call,address.v.06,v,1890,HW,greet as with a prescribed form title or name,2,"['address', 'call']",v,0,0,0,0,
11,call,bid.v.04,v,1890,HW,make a demand as for a card or a suit or a show of hands,2,"['bid', 'call']",v,0,0,0,0,
12,call,call.v.02,v,1890,HW,ascribe a quality to or give a name of a common noun that reflects a quality,1,['call'],v,0,0,0,0,
13,call,call.v.03,v,1890,HW,get or try to get into communication with someone by telephone,5,"['call', 'telephone', 'call_up', 'phone', 'ring']",v,1,1,1,1,
14,call,call.v.05,v,1890,HW,order request or command to come,2,"['call', 'send_for']",v,0,0,0,0,
15,call,call.v.07,v,1890,HW,call a meeting invite or command to meet,1,['call'],v,0,0,0,0,
16,call,call.v.08,v,1890,HW,read aloud to check for omissions or absentees,1,['call'],v,0,0,0,0,
17,call,call.v.09,v,1890,HW,send a message or attempt to reach someone by radio phone etc make a signal to in order to transmit a message,1,['call'],v,1,1,1,1,
18,call,call.v.10,v,1890,HW,utter a characteristic note or cry,1,['call'],v,0,0,0,0,
19,call,call.v.11,v,1890,HW,stop or postpone because of adverse conditions such as bad weather,1,['call'],v,0,0,0,0,
20,call,call.v.13,v,1890,HW,make a stop in a harbour,1,['call'],v,0,0,0,0,
21,call,call.v.14,v,1890,HW,demand payment of a loan,2,"['call', 'call_in']",v,0,0,0,0,
22,call,call.v.16,v,1890,HW,give the calls to the dancers for a square dance,2,"['call', 'call_off']",v,0,0,0,0,
23,call,call.v.17,v,1890,HW,indicate a decision in regard to,1,['call'],v,0,0,0,0,
24,call,call.v.19,v,1890,HW,require the presentation of for redemption before maturation,1,['call'],v,0,0,0,0,
25,call,call.v.20,v,1890,HW,challenge somebody to make good on a statement charge with or censure for an offense,1,['call'],v,0,0,0,0,
26,call,call.v.21,v,1890,HW,declare in the capacity of an umpire or referee,1,['call'],v,0,0,0,0,
27,call,call.v.22,v,1890,HW,lure by imitating the characteristic call of an animal,1,['call'],v,0,0,0,0,
28,call,call.v.23,v,1890,HW,order or request or give a command for,1,['call'],v,0,0,0,0,
29,call,call.v.24,v,1890,HW,order summon or request for a specific duty or activity work role,1,['call'],v,0,0,0,0,
30,call,call.v.25,v,1890,HW,utter in a loud voice or announce,1,['call'],v,0,0,0,0,
31,call,call.v.26,v,1890,HW,challenge the sincerity or truthfulness of,1,['call'],v,0,0,0,0,
32,call,call.v.27,v,1890,HW,consider or regard as being,1,['call'],v,0,0,0,0,
33,call,call.v.28,v,1890,HW,rouse somebody from sleep with a call,1,['call'],v,0,0,0,0,
34,call,name.v.01,v,1890,HW,assign a specified usually proper proper name to,2,"['name', 'call']",v,0,0,0,0,
35,call,predict.v.01,v,1890,HW,make a prediction about tell in advance,7,"['predict', 'foretell', 'prognosticate', 'call', 'forebode', 'anticipate', 'promise']",v,0,0,0,0,
36,call,shout.v.02,v,1890,HW,utter a sudden loud cry,9,"['shout', 'shout_out', 'cry', 'call', 'yell', 'scream', 'holler', 'hollo', 'squall']",v,0,0,0,0,
37,call,visit.v.03,v,1890,HW,pay a brief visit,3,"['visit', 'call_in', 'call']",v,0,0,0,0,
38,fatal,black.s.06,adj,1800,HW,of events having extremely unfortunate or dire consequences bringing ruin,5,"['black', 'calamitous', 'disastrous', 'fatal', 'fateful']",s,1,1,0,1,
39,fatal,fatal.a.01,adj,1800,HW,bringing death,1,['fatal'],a,1,1,1,1,
40,fatal,fatal.s.04,adj,1800,HW,controlled or decreed by fate predetermined,2,"['fatal', 'fateful']",s,-1,-1,-1,-1,
41,fatal,fateful.s.01,adj,1800,HW,having momentous consequences of decisive importance,2,"['fateful', 'fatal']",s,0,0,0,0,
42,gay,brave.s.03,adj,1950,HW,brightly colored and showy,3,"['brave', 'braw', 'gay']",s,-1,-1,-1,-1,
43,gay,cheery.s.01,adj,1950,HW,bright and pleasant promoting a feeling of cheer,3,"['cheery', 'gay', 'sunny']",s,-1,-1,-1,-1,
44,gay,gay.s.02,adj,1950,HW,full of or showing highspirited merriment,6,"['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']",s,-1,-1,-1,-1,
45,gay,gay.s.03,adj,1950,HW,given to social pleasures often including dissipation,1,['gay'],s,0,0,0,0,
46,gay,gay.s.05,adj,1950,HW,offering fun and gaiety,4,"['gay', 'festal', 'festive', 'merry']",s,-1,-1,-1,-1,
47,gay,gay.s.06,adj,1950,HW,homosexual or arousing homosexual desires,3,"['gay', 'queer', 'homophile']",s,1,1,1,1,
48,guy,guy.n.01,n,1850,HW,an informal term for a youth or man,4,"['guy', 'cat', 'hombre', 'bozo']",n,1,1,1,1,
49,guy,guy.n.02,n,1850,HW,an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day,1,['Guy'],n,0,0,0,0,
50,guy,guy.n.03,n,1850,HW,a cable wire or rope that is used to brace something especially a tent,4,"['guy', 'guy_cable', 'guy_wire', 'guy_rope']",n,0,0,0,0,
51,monitor,admonisher.n.01,n,1930,HW,someone who gives a warning so that a mistake can be avoided,3,"['admonisher', 'monitor', 'reminder']",n,0,0,0,0,
52,monitor,monitor.n.03,n,1930,HW,an ironclad vessel built by Federal forces to do battle with the Merrimac,1,['Monitor'],n,0,0,0,0,
53,monitor,monitor.n.04,n,1930,HW,display produced by a device that takes signals and displays them on a television screen or a computer monitor,2,"['monitor', 'monitoring_device']",n,1,1,1,1,
54,monitor,monitor.n.05,n,1930,HW,electronic equipment that is used to check the quality or content of electronic transmissions,1,['monitor'],n,1,0,0,0,
55,monitor,monitor.n.06,n,1930,HW,a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble,1,['monitor'],n,0,0,0,0,
56,monitor,monitor.n.07,n,1930,HW,any of various large tropical carnivorous lizards of Africa and Asia and Australia fabled to warn of crocodiles,3,"['monitor', 'monitor_lizard', 'varan']",n,0,0,0,0,
57,monitor,proctor.n.01,n,1930,HW,someone who supervises an examination,2,"['proctor', 'monitor']",n,0,0,0,0,
58,nice,courteous.s.01,adj,1890,HW,exhibiting courtesy and politeness,3,"['courteous', 'gracious', 'nice']",s,1,-1,0,0,"no vote possible, 0 most neutral"
59,nice,dainty.s.04,adj,1890,HW,excessively fastidious and easily disgusted,5,"['dainty', 'nice', 'overnice', 'prissy', 'squeamish']",s,-1,-1,-1,-1,
60,nice,decent.s.01,adj,1890,HW,socially or conventionally correct refined or virtuous,2,"['decent', 'nice']",s,1,-1,-1,-1,
61,nice,nice.a.01,adj,1890,HW,pleasant or pleasing or agreeable in nature or appearance,1,['nice'],a,1,1,1,1,
62,nice,nice.s.03,adj,1890,HW,done with delicacy and skill,2,"['nice', 'skillful']",s,1,-1,-1,-1,
63,record,criminal_record.n.01,n,1920,HW,a list of crimes for which an accused person has been previously convicted,2,"['criminal_record', 'record']",n,0,0,0,0,
64,record,phonograph_record.n.01,n,1920,HW,sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove,6,"['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']",n,1,1,1,1,
65,record,record.n.01,n,1920,HW,anything such as a document or a phonograph record or a photograph providing permanent evidence of or information about past events,1,['record'],n,0,1,0,0,
66,record,record.n.03,n,1920,HW,the number of wins versus losses and ties a team has had,1,['record'],n,0,0,0,0,
67,record,record.n.04,n,1920,HW,the sum of recognized accomplishments,2,"['record', 'track_record']",n,0,0,0,0,
68,record,record.n.05,n,1920,HW,a compilation of the known facts regarding something or someone,3,"['record', 'record_book', 'book']",n,0,0,0,0,
69,record,record.n.06,n,1920,HW,an extreme attainment the best or worst performance ever attested as in a sport,1,['record'],n,0,0,0,0,
70,record,record.n.07,n,1920,HW,a document that can serve as legal evidence of a transaction,1,['record'],n,0,0,0,0,
