"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"train.n.01.train.1814.1",train,train.n.01,1814,NA,NA,NA,NA
"camera.n.01.camera.1826.1",camera,camera.n.01,1826,NA,NA,NA,NA
"travel.v.02.travel.1875.1",travel,travel.v.02,1875,NA,NA,NA,NA
"travel.v.03.travel.1875.1",travel,travel.v.03,1875,1,1,1,NA
"travel.v.04.travel.1875.1",travel,travel.v.04,1875,NA,NA,NA,NA
"telephone.n.01.phone.1881.1",phone,telephone.n.01,1881,1,1,1,NA
"telephone.n.01.telephone.1881.1",telephone,telephone.n.01,1881,1,1,1,NA
"telephone.n.02.telephone.1881.1",telephone,telephone.n.02,1881,NA,NA,NA,NA
"car.n.01.car.1895.1",car,car.n.01,1895,1,0,0,0
"tank.n.01.tank.1916.1",tank,tank.n.01,1916,NA,NA,NA,NA
"flight.n.02.flight.1918.1",flight,flight.n.02,1918,NA,NA,NA,NA
"phonograph_record.n.01.record.1920.1",record,phonograph_record.n.01,1920,1,1,1,1
"computer.n.01.computer.1940.1",computer,computer.n.01,1940,NA,NA,NA,NA
"rock_'n'_roll.n.01.rock.1955.1",rock,rock_'n'_roll.n.01,1955,NA,NA,NA,NA
"computer.n.01.computer.1960.1",computer,computer.n.01,1960,NA,NA,NA,NA
"memory.n.04.memory.1960.1",memory,memory.n.04,1960,NA,NA,NA,NA
"magnetic_tape.n.01.tape.1960.1",tape,magnetic_tape.n.01,1960,NA,NA,NA,NA
"tape.n.02.tape.1960.1",tape,tape.n.02,1960,NA,NA,NA,NA
"cool.s.02.cool.1964.1",cool,cool.s.02,1964,NA,NA,NA,NA
"mouse.n.04.mouse.1965.1",mouse,mouse.n.04,1965,NA,NA,NA,NA
"cunt.n.01.bitch.1970.1",bitch,cunt.n.01,1970,NA,NA,NA,NA
"gay.s.06.gay.1985.1",gay,gay.s.06,1985,NA,NA,NA,NA
"internet.n.01.internet.1995.1",internet,internet.n.01,1995,NA,NA,NA,NA
